trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.5, 'e': 0.08084520834544431}",20,1,19.213116641790073,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.08058229640253803}",20,10,18.967800277423024,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.08032193289024989}",25,13,23.169195321363375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.08006407690254357}",20,10,18.830426707001394,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.07980868844676221}",35,23,21.293535955528196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.079555728417573}",20,14,9.360506768020642,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.07930515857181442}",20,0,-19.87402445722221,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.07905694150420949}",20,10,19.43743470180568,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.07881104062391006}",20,0,28.323459588998748,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.07856742013183861}",30,17,2.3310595422896236,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.07832604499879574}",20,15,8.97975303048292,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.07808688094430304}",30,7,36.66755653989423,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.0778498944161523}",25,13,-0.2481944805583094,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.07761505257063328}",20,14,-31.88429154434475,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.07738232325341368}",20,5,25.987956176481816,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.07715167498104596}",30,22,-4.0767727083456595,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.07692307692307693}",30,20,18.56580499808564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.07669649888473705}",30,14,-24.24227424137841,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.07647191129018725}",20,10,19.323685478701858,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.07624928516630233}",30,17,16.858711496452223,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.07602859212697055}",25,0,-12.49533622918147,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.07580980435789034}",20,0,-3.51078528747151,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.07559289460184544}",20,14,12.095551957384957,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.07537783614444091}",25,17,12.557771612000263,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.07516460280028289}",25,12,11.626631712726644,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.07495316889958614}",20,12,13.972092732137183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.07474350927519359}",20,15,6.5695562613281036,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.07453559924999299}",20,12,15.896099796681627,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.07432941462471664}",25,13,24.151585215050886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.07412493166611012}",25,14,21.49483677678031,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.07392212709545729}",25,11,17.31835640431955,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
